root,arabic,count,n_lemmas,top_lemmas,pos_distribution,cluster_id,cluster_name,n_surahs,meccan_share,top_co_roots,is_bridge,n_neighbor_clusters,notable
gsl,غسل,4,4,tagotasilu (تَغْتَسِلُ) x1; {gosilu (ٱغْسِلُ) x1; mugotasal (مُغْتَسَل) x1,"V: 50%, N: 50%",17,Bodily Purity & Prayer,4,0.5,AHd (احد) x2; Alh (اله) x2; Amn (امن) x2; SEd (صعد) x2; Slw (صلو) x2,True,6,rare (4 occ.); bridge (6 clusters); in named cluster: Bodily Purity & Prayer
gwT,غوط,2,1,gaA^}iT (غَا^ئِط) x2,N: 100%,17,Bodily Purity & Prayer,2,0.0,AHd (احد) x2; Alh (اله) x2; Amn (امن) x2; SEd (صعد) x2; Slw (صلو) x2,True,5,noun-only; rare (2 occ.); bridge (5 clusters); in named cluster: Bodily Purity & Prayer
lms,لمس,5,2,lamasu (لَمَسُ) x4; {lotamisu (ٱلْتَمِسُ) x1,V: 100%,17,Bodily Purity & Prayer,5,0.4,Amn (امن) x3; qwl (قول) x3; wjd (وجد) x3; ydy (يدي) x3; AHd (احد) x2,True,5,verb-only; rare (5 occ.); bridge (5 clusters); in named cluster: Bodily Purity & Prayer
msH,مسح,4,2,{mosaHu (ٱمْسَحُ) x3; masoH (مَسْح) x1,"V: 75%, N: 25%",17,Bodily Purity & Prayer,3,0.25,AHd (احد) x2; Alh (اله) x2; Amn (امن) x2; SEd (صعد) x2; Slw (صلو) x2,True,5,rare (4 occ.); bridge (5 clusters); in named cluster: Bodily Purity & Prayer
TEn,طعن,2,2,TaEon (طَعْن) x1; TaEanu (طَعَنُ) x1,"N: 50%, V: 50%",19,Household Law & Lineage,2,0.0,dyn (دين) x2; kfr (كفر) x2,False,2,rare (2 occ.); in named cluster: Household Law & Lineage
Tms,طمس,5,1,Tumisato (طُمِسَتْ) x5,V: 100%,153,,5,0.8,Amn (امن) x2; Aty (اتي) x2; E*b (عذب) x2; Eyn (عين) x2,False,4,verb-only; rare (5 occ.)
ftl,فتل,3,1,fatiyl (فَتِيل) x3,N: 100%,17,Bodily Purity & Prayer,2,0.333,Zlm (ظلم) x3; Alh (اله) x2; rAy (راي) x2; zkw (زكو) x2; Aty (اتي) x2,False,4,noun-only; rare (3 occ.); in named cluster: Bodily Purity & Prayer
jbt,جبت,1,1,jibot (جِبْت) x1,N: 100%,361,,1,0.0,,False,0,noun-only; single occurrence; confined to 1 surah
nqr,نقر,4,3,naqiyr (نَقِير) x2; nuqira (نُقِرَ) x1; n~aAquwr (نَّاقُور) x1,"N: 75%, V: 25%",477,,2,0.5,,False,0,rare (4 occ.)
nDj,نضج,1,1,naDijato (نَضِجَتْ) x1,V: 100%,453,,1,0.0,,False,0,verb-only; single occurrence; confined to 1 surah
jld,جلد,13,3,juluwd (جُلُود) x9; {jolidu (ٱجْلِدُ) x2; jalodap (جَلْدَة) x2,"N: 85%, V: 15%",191,,6,0.462,Alh (اله) x6; $hd (شهد) x5; kwn (كون) x4; kll (كلل) x3; E*b (عذب) x2,True,7,bridge (7 clusters)
zEm,زعم,17,3,zaEama (زَعَمَ) x13; zaEom (زَعْم) x2; zaEiym (زَعِيم) x2,"V: 76%, N: 24%",8,Allegiance & the Object of Worship,10,0.824,qwl (قول) x11; $rk (شرك) x7; kwn (كون) x7; Alh (اله) x6; ywm (يوم) x4,True,10,high inter-cluster connectivity (10 clusters); in named cluster: Allegiance & the Object of Worship
Hlf,حلف,13,2,Halafo (حَلَفْ) x12; Hal~aAf (حَلَّاف) x1,"V: 92%, N: 8%",8,Allegiance & the Object of Worship,5,0.077,Alh (اله) x11; k*b (كذب) x4; kwn (كون) x4; kfr (كفر) x3; qwm (قوم) x3,True,8,high Medinan concentration; bridge (8 clusters); in named cluster: Allegiance & the Object of Worship
Hrj,حرج,15,1,Haraj (حَرَج) x15,"N: 93%, ADJ: 7%",17,Bodily Purity & Prayer,9,0.133,Alh (اله) x9; Amn (امن) x6; kwn (كون) x6; nfs (نفس) x4; slm (سلم) x4,True,16,high Medinan concentration; high inter-cluster connectivity (16 clusters); in named cluster: Bodily Purity & Prayer
rfq,رفق,5,4,murotafaq (مُرْتَفَق) x2; rafiyq (رَفِيق) x1; maraAfiq (مَرَافِق) x1,N: 100%,17,Bodily Purity & Prayer,3,0.6,Alh (اله) x3; nEm (نعم) x3; Hsn (حسن) x2; Amn (امن) x2; mwh (موه) x2,True,5,noun-only; rare (5 occ.); bridge (5 clusters); in named cluster: Bodily Purity & Prayer
nfr,نفر,18,5,nafara (نَفَرَ) x8; nufuwr (نُفُور) x5; nafar (نَفَر) x3,"N: 50%, V: 44%",66,Jihād fī Sabīl Allāh,10,0.556,qwl (قول) x6; Alh (اله) x5; kwn (كون) x5; mwl (مول) x4; qrA (قرا) x4,True,13,high inter-cluster connectivity (13 clusters); in named cluster: Jihād fī Sabīl Allāh
