root,arabic,count,n_lemmas,top_lemmas,pos_distribution,cluster_id,cluster_name,n_surahs,meccan_share,top_co_roots,is_bridge,n_neighbor_clusters,notable
smw,سمو,381,6,samaA^' (سَمَا^ء) x310; {som (ٱسْم) x39; m~usam~FY (مُّسَمًّى) x21,"N: 97%, V: 2%",1,,81,0.703,ArD (ارض) x224; Alh (اله) x185; Elm (علم) x72; kwn (كون) x71; xlq (خلق) x66,True,82,high inter-cluster connectivity (82 clusters); appears in 80+ surahs
Alh,اله,2851,3,{ll~ah (ٱللَّه) x2699; <ila`h (إِلَٰه) x147; {ll~ahum~a (ٱللَّهُمَّ) x5,"PN: 95%, N: 5%",8,Allegiance & the Object of Worship,86,0.383,qwl (قول) x514; kwn (كون) x441; Elm (علم) x408; Amn (امن) x372; $yA (شيا) x282,True,131,high inter-cluster connectivity (131 clusters); in named cluster: Allegiance & the Object of Worship; appears in 80+ surahs
rHm,رحم,339,9,r~aHiym (رَّحِيم) x116; raHomap (رَحْمَة) x114; r~aHoma`n (رَّحْمَٰن) x57,"N: 55%, ADJ: 37%",90,Sin–Mercy Economy,62,0.667,Alh (اله) x130; rbb (ربب) x91; gfr (غفر) x91; qwl (قول) x73; kwn (كون) x64,True,72,high inter-cluster connectivity (72 clusters); in named cluster: Sin–Mercy Economy
Hmd,حمد,63,5,Hamod (حَمْد) x43; Hamiyd (حَمِيد) x17; yuHomadu (يُحْمَدُ) x1,"N: 73%, ADJ: 25%",67,,40,0.794,Alh (اله) x42; rbb (ربب) x25; qwl (قول) x18; ArD (ارض) x17; sbH (سبح) x16,True,28,high inter-cluster connectivity (28 clusters)
rbb,ربب,980,4,rab~ (رَبّ) x975; rab~a`niy~in (رَبَّٰنِيِّن) x3; rib~iy~uwn (رِبِّيُّون) x1,N: 100%,4,"Revelation, Speech & Disbelief",94,0.778,qwl (قول) x329; Alh (اله) x204; kwn (كون) x159; Elm (علم) x129; Amn (امن) x112,True,113,"noun-only; high inter-cluster connectivity (113 clusters); in named cluster: Revelation, Speech & Disbelief; appears in 80+ surahs"
Elm,علم,854,14,Ealima (عَلِمَ) x382; Ealiym (عَلِيم) x163; Eilom (عِلْم) x105,"V: 50%, N: 36%",4,"Revelation, Speech & Disbelief",85,0.58,Alh (اله) x408; qwl (قول) x230; kwn (كون) x157; rbb (ربب) x129; Amn (امن) x99,True,107,"high inter-cluster connectivity (107 clusters); in named cluster: Revelation, Speech & Disbelief; appears in 80+ surahs"
mlk,ملك,206,10,malak (مَلَك) x88; mulok (مُلْك) x48; malakato (مَلَكَتْ) x44,"N: 77%, V: 21%",43,Divine Will & Dominion,63,0.592,Alh (اله) x101; qwl (قول) x80; kwn (كون) x48; $yA (شيا) x47; smw (سمو) x41,True,71,high inter-cluster connectivity (71 clusters); in named cluster: Divine Will & Dominion
ywm,يوم,405,1,yawom (يَوْم) x405,"N: 80%, T: 20%",78,,75,0.723,Alh (اله) x125; qwm (قوم) x104; qwl (قول) x94; kwn (كون) x92; Amn (امن) x58,True,86,high inter-cluster connectivity (86 clusters)
dyn,دين,101,5,diyn (دِين) x92; dayon (دَيْن) x5; madiyniyn (مَدِينِين) x2,"N: 98%, V: 2%",19,Household Law & Lineage,40,0.485,Alh (اله) x53; kwn (كون) x25; ywm (يوم) x20; qwm (قوم) x17; Elm (علم) x16,True,35,high inter-cluster connectivity (35 clusters); in named cluster: Household Law & Lineage
Ebd,عبد,275,6,Eabod (عَبْد) x131; Eabada (عَبَدَ) x122; EaAbid (عَابِد) x11,"N: 55%, V: 45%",8,Allegiance & the Object of Worship,57,0.825,Alh (اله) x134; qwl (قول) x85; kwn (كون) x62; rbb (ربب) x47; $yA (شيا) x37,True,68,high inter-cluster connectivity (68 clusters); in named cluster: Allegiance & the Object of Worship
Ewn,عون,11,5,{sotaEiynu (ٱسْتَعِينُ) x4; taEaAwanu (تَعَاوَنُ) x2; musotaEaAn (مُسْتَعَان) x2,"V: 73%, N: 27%",5,The Commanded Self,8,0.545,qwl (قول) x6; Sbr (صبر) x4; rbb (ربب) x4; Alh (اله) x4; qwm (قوم) x3,True,6,bridge (6 clusters); in named cluster: The Commanded Self
hdy,هدي,316,12,hadaY (هَدَى) x144; hudFY (هُدًى) x85; {hotadaY` (ٱهْتَدَىٰ) x40,"V: 58%, N: 42%",8,Allegiance & the Object of Worship,62,0.652,Alh (اله) x130; qwl (قول) x79; qwm (قوم) x66; rbb (ربب) x61; kwn (كون) x57,True,66,high inter-cluster connectivity (66 clusters); in named cluster: Allegiance & the Object of Worship
SrT,صرط,45,1,Sira`T (صِرَٰط) x45,N: 100%,8,Allegiance & the Object of Worship,25,0.733,qwm (قوم) x33; hdy (هدي) x24; Alh (اله) x19; rbb (ربب) x9; $yA (شيا) x8,True,18,noun-only; high inter-cluster connectivity (18 clusters); in named cluster: Allegiance & the Object of Worship
qwm,قوم,660,22,qawom (قَوْم) x383; qiya`map (قِيَٰمَة) x70; >aqaAma (أَقَامَ) x54,"N: 81%, V: 15%",8,Allegiance & the Object of Worship,79,0.688,Alh (اله) x242; qwl (قول) x186; kwn (كون) x131; rbb (ربب) x112; ywm (يوم) x104,True,100,high inter-cluster connectivity (100 clusters); in named cluster: Allegiance & the Object of Worship
nEm,نعم,140,9,niEomap (نِعْمَة) x50; n~aEam (نَّعَم) x33; niEoma (نِعْمَ) x18,"N: 74%, V: 26%",34,,61,0.643,Alh (اله) x58; kwn (كون) x22; qwl (قول) x22; jnn (جنن) x20; rbb (ربب) x20,True,50,high inter-cluster connectivity (50 clusters)
gyr,غير,154,5,gayor (غَيْر) x147; yugay~iru (يُغَيِّرُ) x4; mugay~ir (مُغَيِّر) x1,"N: 95%, V: 3%",90,Sin–Mercy Economy,46,0.61,Alh (اله) x86; qwl (قول) x43; kwn (كون) x42; qwm (قوم) x30; Elm (علم) x30,True,68,high inter-cluster connectivity (68 clusters); in named cluster: Sin–Mercy Economy
gDb,غضب,24,5,gaDab (غَضَب) x14; gaDiba (غَضِبَ) x6; gaDoba`n (غَضْبَٰن) x2,"N: 75%, V: 25%",86,,15,0.542,Alh (اله) x14; rbb (ربب) x7; kfr (كفر) x5; kwn (كون) x5; qtl (قتل) x5,True,19,high inter-cluster connectivity (19 clusters)
Dll,ضلل,191,8,>aDal~a (أَضَلَّ) x64; Dal~a (ضَلَّ) x53; Dala`l (ضَلَٰل) x38,"V: 61%, N: 37%",8,Allegiance & the Object of Worship,56,0.738,Alh (اله) x80; qwl (قول) x59; hdy (هدي) x52; kwn (كون) x49; rbb (ربب) x34,True,52,high inter-cluster connectivity (52 clusters); in named cluster: Allegiance & the Object of Worship
ktb,كتب,319,7,kita`b (كِتَٰب) x260; kataba (كَتَبَ) x49; kaAtib (كَاتِب) x6,"N: 84%, V: 16%",4,"Revelation, Speech & Disbelief",61,0.486,Alh (اله) x123; Aty (اتي) x78; kwn (كون) x65; qwl (قول) x63; Amn (امن) x63,True,80,"high inter-cluster connectivity (80 clusters); in named cluster: Revelation, Speech & Disbelief"
ryb,ريب,36,5,rayob (رَيْب) x18; {rotaAba (ٱرْتَابَ) x9; muriyb (مُرِيب) x7,"N: 72%, V: 25%",4,"Revelation, Speech & Disbelief",26,0.556,Alh (اله) x21; byn (بين) x11; ktb (كتب) x10; Elm (علم) x10; qwl (قول) x10,True,19,"high inter-cluster connectivity (19 clusters); in named cluster: Revelation, Speech & Disbelief"
wqy,وقي,258,8,{t~aqaY` (ٱتَّقَىٰ) x166; mut~aqiyn (مُتَّقِين) x49; taqowaY (تَقْوَى) x17,"V: 71%, N: 29%",5,The Commanded Self,63,0.45,Alh (اله) x135; Amn (امن) x55; kwn (كون) x44; qwl (قول) x43; rbb (ربب) x33,True,60,high inter-cluster connectivity (60 clusters); in named cluster: The Commanded Self
Amn,امن,879,17,'aAmana (ءَامَنَ) x537; mu&omin (مُؤْمِن) x202; <iyma`n (إِيمَٰن) x45,"V: 63%, N: 33%",0,The Believers' Reward,77,0.431,Alh (اله) x372; kwn (كون) x197; qwl (قول) x185; kfr (كفر) x126; rbb (ربب) x112,True,110,high inter-cluster connectivity (110 clusters); in named cluster: The Believers' Reward
gyb,غيب,60,6,gayob (غَيْب) x49; guyuwb (غُيُوب) x4; gaA^}ibiyn (غَا^ئِبِين) x3,"N: 98%, V: 2%",4,"Revelation, Speech & Disbelief",35,0.7,Elm (علم) x34; Alh (اله) x24; kwn (كون) x21; qwl (قول) x20; ArD (ارض) x13,True,26,"high inter-cluster connectivity (26 clusters); in named cluster: Revelation, Speech & Disbelief"
Slw,صلو,99,4,Salaw`p (صَلَوٰة) x83; Sal~aY` (صَلَّىٰ) x12; muSal~iyn (مُصَلِّين) x3,"N: 88%, V: 12%",17,Bodily Purity & Prayer,37,0.404,qwm (قوم) x52; Alh (اله) x44; zkw (زكو) x28; Aty (اتي) x27; Amn (امن) x22,True,41,high inter-cluster connectivity (41 clusters); in named cluster: Bodily Purity & Prayer
rzq,رزق,123,4,razaqa (رَزَقَ) x61; rizoq (رِزْق) x55; r~a`ziqiyn (رَّٰزِقِين) x6,"N: 50%, V: 50%",43,Divine Will & Dominion,44,0.65,Alh (اله) x59; qwl (قول) x27; Amn (امن) x23; Elm (علم) x23; rbb (ربب) x23,True,48,high inter-cluster connectivity (48 clusters); in named cluster: Divine Will & Dominion
nfq,نفق,111,10,>anfaqa (أَنفَقَ) x68; muna`fiquwn (مُنَٰفِقُون) x27; muna`fiqa`t (مُنَٰفِقَٰت) x5,"V: 63%, N: 37%",66,Jihād fī Sabīl Allāh,31,0.117,Alh (اله) x61; qwl (قول) x21; Amn (امن) x18; Elm (علم) x18; kfr (كفر) x17,True,50,high Medinan concentration; high inter-cluster connectivity (50 clusters); in named cluster: Jihād fī Sabīl Allāh
nzl,نزل,293,12,>anzala (أَنزَلَ) x183; naz~ala (نَزَّلَ) x62; tanziyl (تَنزِيل) x15,"V: 88%, N: 12%",4,"Revelation, Speech & Disbelief",60,0.563,Alh (اله) x126; qwl (قول) x71; ktb (كتب) x63; kwn (كون) x58; rbb (ربب) x56,True,76,"high inter-cluster connectivity (76 clusters); in named cluster: Revelation, Speech & Disbelief"
qbl,قبل,294,13,qabol (قَبْل) x242; taqab~ala (تَقَبَّلَ) x10; yaqobalu (يَقْبَلُ) x9,"N: 74%, T: 15%",4,"Revelation, Speech & Disbelief",64,0.629,kwn (كون) x105; Alh (اله) x98; qwl (قول) x86; Aty (اتي) x64; rsl (رسل) x58,True,85,"high inter-cluster connectivity (85 clusters); in named cluster: Revelation, Speech & Disbelief"
Axr,اخر,250,6,A^xir (ا^خِر) x155; A^xar (ا^خَر) x70; >ax~ara (أَخَّرَ) x15,"N: 71%, ADJ: 19%",96,Dunya vs. Ākhirah,64,0.612,Alh (اله) x123; kwn (كون) x59; Amn (امن) x58; dnw (دنو) x57; qwl (قول) x44,True,68,high inter-cluster connectivity (68 clusters); in named cluster: Dunya vs. Ākhirah
yqn,يقن,28,5,yuwqinu (يُوقِنُ) x12; yaqiyn (يَقِين) x8; m~uwqiniyn (مُّوقِنِين) x5,"V: 50%, N: 43%",4,"Revelation, Speech & Disbelief",19,0.821,Alh (اله) x7; qwl (قول) x7; Aty (اتي) x6; Ayy (ايي) x6; qwm (قوم) x6,True,17,"high inter-cluster connectivity (17 clusters); in named cluster: Revelation, Speech & Disbelief"
flH,فلح,40,2,>afolaHa (أَفْلَحَ) x27; mufoliHuwn (مُفْلِحُون) x13,"V: 68%, N: 32%",5,The Commanded Self,24,0.575,Alh (اله) x20; Amn (امن) x14; qwl (قول) x11; kwn (كون) x9; rbb (ربب) x7,True,25,high inter-cluster connectivity (25 clusters); in named cluster: The Commanded Self
kfr,كفر,525,14,kafara (كَفَرَ) x289; ka`firuwn (كَٰفِرُون) x129; kufor (كُفْر) x37,"V: 58%, N: 38%",62,The Prepared Fire,77,0.444,Alh (اله) x225; qwl (قول) x132; Amn (امن) x126; kwn (كون) x123; rbb (ربب) x70,True,98,high inter-cluster connectivity (98 clusters); in named cluster: The Prepared Fire
swy,سوي,83,7,{sotawaY`^ (ٱسْتَوَىٰ^) x35; sawaA^' (سَوَا^ء) x27; saw~aY` (سَوَّىٰ) x13,"V: 60%, N: 34%",12,,48,0.687,Alh (اله) x29; qwl (قول) x22; Elm (علم) x12; rbb (ربب) x12; qwm (قوم) x12,True,40,high inter-cluster connectivity (40 clusters)
n*r,نذر,130,8,na*iyr (نَذِير) x58; >an*ara (أَنذَرَ) x44; mun*ir (مُنذِر) x15,"N: 63%, V: 37%",4,"Revelation, Speech & Disbelief",50,0.869,qwl (قول) x34; kwn (كون) x26; rsl (رسل) x23; b$r (بشر) x22; Alh (اله) x22,True,35,"high Meccan concentration; high inter-cluster connectivity (35 clusters); in named cluster: Revelation, Speech & Disbelief"
xtm,ختم,8,4,xatama (خَتَمَ) x5; xaAtam (خَاتَم) x1; m~axotuwm (مَّخْتُوم) x1,"V: 62%, N: 25%",191,,7,0.75,Alh (اله) x5; qlb (قلب) x4; bSr (بصر) x3; smE (سمع) x3; Elm (علم) x3,True,9,bridge (9 clusters)
qlb,قلب,168,9,qalob (قَلْب) x132; {nqalaba (ٱنقَلَبَ) x17; qal~abu (قَلَّبُ) x6,"N: 85%, V: 15%",28,,48,0.345,Alh (اله) x94; Amn (امن) x49; qwl (قول) x40; kwn (كون) x33; Elm (علم) x32,True,65,high inter-cluster connectivity (65 clusters)
smE,سمع,185,10,samiEa (سَمِعَ) x78; samiyE (سَمِيع) x47; samoE (سَمْع) x22,"V: 58%, N: 37%",191,,57,0.622,Alh (اله) x70; qwl (قول) x49; Elm (علم) x44; bSr (بصر) x37; kwn (كون) x26,True,54,high inter-cluster connectivity (54 clusters)
bSr,بصر,148,10,baSiyr (بَصِير) x51; baSar (بَصَر) x48; >aboSara (أَبْصَرَ) x29,"N: 64%, V: 22%",191,,62,0.736,Alh (اله) x60; smE (سمع) x37; qwl (قول) x30; kwn (كون) x28; Eml (عمل) x25,True,56,high inter-cluster connectivity (56 clusters)
g$w,غشو,29,8,ga$iya (غَشِيَ) x13; >ugo$iyato (أُغْشِيَتْ) x4; ga`$iyap (غَٰشِيَة) x3,"V: 79%, N: 21%",318,,23,0.759,Alh (اله) x10; jEl (جعل) x6; qlb (قلب) x5; Amn (امن) x5; lyl (ليل) x5,True,24,high inter-cluster connectivity (24 clusters)
E*b,عذب,373,5,Ea*aAb (عَذَاب) x322; Ea*~aba (عَذَّبَ) x41; muEa*~ib (مُعَذِّب) x4,"N: 89%, V: 11%",62,The Prepared Fire,68,0.622,Alh (اله) x133; qwl (قول) x78; kwn (كون) x77; Alm (الم) x70; kfr (كفر) x68,True,88,high inter-cluster connectivity (88 clusters); in named cluster: The Prepared Fire
EZm,عظم,128,5,EaZiym (عَظِيم) x120; >aEoZam (أَعْظَم) x3; EaZom (عَظْم) x2,"ADJ: 82%, N: 16%",0,The Believers' Reward,50,0.469,Alh (اله) x69; qwl (قول) x28; E*b (عذب) x26; kwn (كون) x25; Amn (امن) x21,True,48,high inter-cluster connectivity (48 clusters); in named cluster: The Believers' Reward
nws,نوس,241,1,n~aAs (نَّاس) x241,N: 100%,4,"Revelation, Speech & Disbelief",53,0.494,Alh (اله) x129; qwl (قول) x57; kwn (كون) x52; Elm (علم) x48; rbb (ربب) x45,True,81,"noun-only; high inter-cluster connectivity (81 clusters); in named cluster: Revelation, Speech & Disbelief"
qwl,قول,1722,6,qaAla (قَالَ) x1618; qawol (قَوْل) x92; qaA^}il (قَا^ئِل) x5,"V: 94%, N: 6%",4,"Revelation, Speech & Disbelief",84,0.725,Alh (اله) x514; kwn (كون) x369; rbb (ربب) x329; Elm (علم) x230; qwm (قوم) x186,True,128,"high inter-cluster connectivity (128 clusters); in named cluster: Revelation, Speech & Disbelief; appears in 80+ surahs"
xdE,خدع,5,3,yuxa`diEu (يُخَٰدِعُ) x2; yaxodaEu (يَخْدَعُ) x2; xa`diE (خَٰدِع) x1,"V: 80%, N: 20%",0,The Believers' Reward,3,0.0,Alh (اله) x3; Amn (امن) x2,False,2,rare (5 occ.); high Medinan concentration; in named cluster: The Believers' Reward
nfs,نفس,298,4,nafos (نَفْس) x295; tanaf~asa (تَنَفَّسَ) x1; yatanaAfasi (يَتَنَافَسِ) x1,"N: 99%, V: 1%",5,The Commanded Self,63,0.547,Alh (اله) x139; kwn (كون) x87; qwl (قول) x67; Zlm (ظلم) x55; Elm (علم) x45,True,82,high inter-cluster connectivity (82 clusters); in named cluster: The Commanded Self
$Er,شعر,40,7,ya$oEuru (يَشْعُرُ) x25; $aAEir (شَاعِر) x5; $aEa`^}ir (شَعَٰ^ئِر) x4,"V: 68%, N: 30%",4,"Revelation, Speech & Disbelief",23,0.75,Alh (اله) x14; qwl (قول) x13; Aty (اتي) x11; Amn (امن) x7; rbb (ربب) x6,True,21,"high inter-cluster connectivity (21 clusters); in named cluster: Revelation, Speech & Disbelief"
mrD,مرض,24,3,m~araD (مَّرَض) x13; m~ariyD (مَّرِيض) x10; mariDo (مَرِضْ) x1,"N: 96%, V: 4%",17,Bodily Purity & Prayer,13,0.125,Alh (اله) x16; qlb (قلب) x12; kwn (كون) x8; qwl (قول) x7; Elm (علم) x5,True,23,high Medinan concentration; high inter-cluster connectivity (23 clusters); in named cluster: Bodily Purity & Prayer
zyd,زيد,61,4,zaAda (زَادَ) x49; {zodaAdu (ٱزْدَادُ) x8; ziyaAdap (زِيَادَة) x2,"V: 93%, N: 7%",162,,32,0.656,Alh (اله) x24; qwl (قول) x18; rbb (ربب) x17; Amn (امن) x14; kfr (كفر) x12,True,29,high inter-cluster connectivity (29 clusters)
Alm,الم,75,2,>aliym (أَلِيم) x72; ya>olamu (يَأْلَمُ) x3,"ADJ: 96%, V: 4%",62,The Prepared Fire,42,0.48,E*b (عذب) x70; Alh (اله) x36; kfr (كفر) x22; Amn (امن) x18; qwl (قول) x16,True,38,high inter-cluster connectivity (38 clusters); in named cluster: The Prepared Fire
kwn,كون,1390,3,kaAna (كَانَ) x1358; m~akaAn (مَّكَان) x27; makaAnat (مَكَانَت) x5,"V: 98%, N: 2%",4,"Revelation, Speech & Disbelief",86,0.662,Alh (اله) x441; qwl (قول) x369; Amn (امن) x197; rbb (ربب) x159; Elm (علم) x157,True,127,"high inter-cluster connectivity (127 clusters); in named cluster: Revelation, Speech & Disbelief; appears in 80+ surahs"
k*b,كذب,282,9,ka*~aba (كَذَّبَ) x176; ka*ib (كَذِب) x33; ka`*ib (كَٰذِب) x32,"V: 66%, N: 32%",4,"Revelation, Speech & Disbelief",68,0.748,Alh (اله) x68; kwn (كون) x64; qwl (قول) x56; rbb (ربب) x48; Ayy (ايي) x46,True,47,"high inter-cluster connectivity (47 clusters); in named cluster: Revelation, Speech & Disbelief"
fsd,فسد,50,4,mufosid (مُفْسِد) x21; >afosadu (أَفْسَدُ) x15; fasaAd (فَسَاد) x11,"N: 64%, V: 36%",147,,23,0.66,ArD (ارض) x31; Alh (اله) x20; qwl (قول) x15; kwn (كون) x12; SlH (صلح) x9,True,31,high inter-cluster connectivity (31 clusters)
ArD,ارض,461,1,>aroD (أَرْض) x461,N: 100%,1,,80,0.707,smw (سمو) x224; Alh (اله) x215; qwl (قول) x101; kwn (كون) x91; Elm (علم) x85,True,98,noun-only; high inter-cluster connectivity (98 clusters); appears in 80+ surahs
SlH,صلح,180,8,Sa`liH (صَٰلِح) x65; S~a`liHa`t (صَّٰلِحَٰت) x62; >aSolaHa (أَصْلَحَ) x28,"N: 76%, V: 17%",0,The Believers' Reward,54,0.628,Eml (عمل) x93; Amn (امن) x82; Alh (اله) x66; rbb (ربب) x39; kwn (كون) x36,True,46,high inter-cluster connectivity (46 clusters); in named cluster: The Believers' Reward
sfh,سفه,11,4,safiyh (سَفِيه) x7; safaAhap (سَفَاهَة) x2; safiha (سَفِهَ) x1,"N: 91%, V: 9%",8,Allegiance & the Object of Worship,5,0.455,qwl (قول) x7; qwm (قوم) x6; Alh (اله) x5; Elm (علم) x4; kwn (كون) x4,True,7,bridge (7 clusters); in named cluster: Allegiance & the Object of Worship
lqy,لقي,146,16,>aloqaY`^ (أَلْقَىٰ^) x71; liqaA^' (لِقَا^ء) x24; laqu (لَقُ) x14,"V: 72%, N: 27%",73,,53,0.753,qwl (قول) x42; Alh (اله) x39; kwn (كون) x30; rbb (ربب) x25; ywm (يوم) x24,True,60,high inter-cluster connectivity (60 clusters)
xlw,خلو,28,4,xalaA (خَلَا) x25; xal~u (خَلُّ) x1; xaAliyap (خَالِيَة) x1,"V: 96%, ADJ: 4%",4,"Revelation, Speech & Disbelief",18,0.429,qbl (قبل) x15; Alh (اله) x12; qwl (قول) x10; kwn (كون) x9; Amm (امم) x8,True,17,"high inter-cluster connectivity (17 clusters); in named cluster: Revelation, Speech & Disbelief"
$Tn,شطن,88,1,$ayoTa`n (شَيْطَٰن) x88,"PN: 91%, N: 9%",9,,36,0.602,Alh (اله) x28; qwl (قول) x22; kwn (كون) x18; byn (بين) x15; Edw (عدو) x13,True,43,high inter-cluster connectivity (43 clusters)
hzA,هزا,34,3,{sotuhozi}a (ٱسْتُهْزِئَ) x21; huzuw (هُزُو) x11; musotahozi'uwn (مُسْتَهْزِءُون) x2,"V: 62%, N: 38%",200,,21,0.706,kwn (كون) x18; Alh (اله) x13; Ax* (اخذ) x12; rsl (رسل) x10; Ayy (ايي) x9,True,17,high inter-cluster connectivity (17 clusters)
mdd,مدد,32,9,mad~a (مَدَّ) x13; >amad~a (أَمَدَّ) x10; mad~ (مَدّ) x2,"V: 72%, N: 19%",440,,24,0.781,rbb (ربب) x7; Alh (اله) x5; qwl (قول) x5; ArD (ارض) x5; jEl (جعل) x5,True,20,high inter-cluster connectivity (20 clusters)
Tgy,طغي,39,8,TagaY` (طَغَىٰ) x12; Tugoya`n (طُغْيَٰن) x9; T~a`guwt (طَّٰغُوت) x8,"N: 62%, V: 33%",132,,27,0.744,Alh (اله) x10; kfr (كفر) x8; qwl (قول) x8; kwn (كون) x8; Amn (امن) x7,True,22,high inter-cluster connectivity (22 clusters)
Emh,عمه,7,1,yaEomahu (يَعْمَهُ) x7,V: 100%,132,,7,0.857,Tgy (طغي) x5; Alh (اله) x3; w*r (وذر) x3; Amn (امن) x2,False,4,verb-only; high Meccan concentration
$ry,شري,25,2,{$otaraY` (ٱشْتَرَىٰ) x21; $ara (شَرَ) x4,V: 100%,35,,8,0.16,Alh (اله) x17; vmn (ثمن) x11; qll (قلل) x9; kwn (كون) x8; E*b (عذب) x7,True,19,verb-only; high inter-cluster connectivity (19 clusters)
rbH,ربح,1,1,rabiHat (رَبِحَت) x1,V: 100%,526,,1,0.0,,False,0,verb-only; single occurrence; confined to 1 surah
tjr,تجر,9,1,tija`rap (تِجَٰرَة) x9,N: 100%,269,,7,0.111,Alh (اله) x6; qwm (قوم) x5; kwn (كون) x4; Amn (امن) x3; rDw (رضو) x3,True,10,noun-only; high Medinan concentration; high inter-cluster connectivity (10 clusters)
mvl,مثل,169,7,maval (مَثَل) x88; mivol (مِثْل) x75; t~amaAviyl (تَّمَاثِيل) x2,"N: 98%, ADJ: 1%",19,Household Law & Lineage,50,0.609,Alh (اله) x71; qwl (قول) x43; kwn (كون) x34; Drb (ضرب) x29; $yA (شيا) x29,True,57,high inter-cluster connectivity (57 clusters); in named cluster: Household Law & Lineage
wqd,وقد,11,4,>awoqadu (أَوْقَدُ) x5; waquwd (وَقُود) x4; {sotawoqada (ٱسْتَوْقَدَ) x1,"V: 55%, N: 36%",111,,10,0.364,nwr (نور) x10; Alh (اله) x8; nws (نوس) x4; mvl (مثل) x3; kfr (كفر) x3,True,13,high inter-cluster connectivity (13 clusters)
nwr,نور,194,3,naAr (نَار) x145; nuwr (نُور) x43; m~uniyr (مُّنِير) x6,"N: 99%, ADJ: 1%",0,The Believers' Reward,62,0.5,Alh (اله) x75; qwl (قول) x46; kfr (كفر) x44; rbb (ربب) x34; kwn (كون) x34,True,63,high inter-cluster connectivity (63 clusters); in named cluster: The Believers' Reward
DwA,ضوا,6,2,>aDaA^'a (أَضَا^ءَ) x3; DiyaA^' (ضِيَا^ء) x3,"V: 50%, N: 50%",111,,5,0.5,Alh (اله) x5; nwr (نور) x3; qwm (قوم) x3; *hb (ذهب) x2; Zlm (ظلم) x2,True,10,high inter-cluster connectivity (10 clusters)
Hwl,حول,25,5,Hawol (حَوْل) x17; HaAla (حَالَ) x3; taHowiyl (تَحْوِيل) x3,"N: 72%, LOC: 12%",4,"Revelation, Speech & Disbelief",19,0.68,Alh (اله) x11; Elm (علم) x7; byn (بين) x5; qwl (قول) x5; kwn (كون) x4,True,21,"high inter-cluster connectivity (21 clusters); in named cluster: Revelation, Speech & Disbelief"
*hb,ذهب,56,5,*ahaba (ذَهَبَ) x35; >a*ohaba (أَذْهَبَ) x11; *ahab (ذَهَب) x8,"V: 82%, N: 18%",51,,30,0.643,Alh (اله) x23; $yA (شيا) x12; qwl (قول) x11; kwn (كون) x9; Amn (امن) x8,True,33,high inter-cluster connectivity (33 clusters)
trk,ترك,43,2,taraka (تَرَكَ) x40; taArik (تَارِك) x3,"V: 93%, N: 7%",19,Household Law & Lineage,20,0.558,Alh (اله) x16; qwl (قول) x12; Amn (امن) x8; kwn (كون) x8; Axr (اخر) x8,True,25,high inter-cluster connectivity (25 clusters); in named cluster: Household Law & Lineage
Zlm,ظلم,315,12,ZaAlim (ظَالِم) x129; Zalama (ظَلَمَ) x110; Zuluma`t (ظُلُمَٰت) x23,"N: 57%, V: 35%",4,"Revelation, Speech & Disbelief",59,0.67,Alh (اله) x131; kwn (كون) x80; qwl (قول) x79; qwm (قوم) x57; rbb (ربب) x56,True,76,"high inter-cluster connectivity (76 clusters); in named cluster: Revelation, Speech & Disbelief"
Smm,صمم,15,3,>aSam~ (أَصَمّ) x12; Sam~u (صَمُّ) x2; >aSam~a (أَصَمَّ) x1,"N: 80%, V: 20%",36,,13,0.6,Emy (عمي) x8; smE (سمع) x7; bkm (بكم) x5; Alh (اله) x5; dEw (دعو) x4,True,7,bridge (7 clusters)
bkm,بكم,6,1,>abokam (أَبْكَم) x6,N: 100%,36,,5,0.5,Smm (صمم) x5; Alh (اله) x4; Emy (عمي) x3; qwm (قوم) x3; Eql (عقل) x2,True,5,noun-only; bridge (5 clusters)
Emy,عمي,33,5,>aEomaY` (أَعْمَىٰ) x21; EamiYa (عَمِىَ) x7; Eamuwn (عَمُون) x2,"N: 64%, V: 24%",36,,22,0.667,bSr (بصر) x11; kwn (كون) x10; Smm (صمم) x8; Alh (اله) x7; hdy (هدي) x7,True,18,high inter-cluster connectivity (18 clusters)
rjE,رجع,104,6,rajaEa (رَجَعَ) x79; marojiE (مَرْجِع) x16; ra`jiEuwn (رَٰجِعُون) x4,"V: 77%, N: 23%",4,"Revelation, Speech & Disbelief",42,0.731,Alh (اله) x39; qwl (قول) x26; kwn (كون) x23; rbb (ربب) x18; Elm (علم) x18,True,41,"high inter-cluster connectivity (41 clusters); in named cluster: Revelation, Speech & Disbelief"
Swb,صوب,77,5,>aSaAba (أَصَابَ) x64; m~uSiybap (مُّصِيبَة) x10; Say~ib (صَيِّب) x1,"V: 83%, N: 17%",75,Witnessing the Visible Sign,27,0.325,Alh (اله) x39; qwl (قول) x16; $yA (شيا) x13; Amn (امن) x12; rsl (رسل) x12,True,34,high inter-cluster connectivity (34 clusters); in named cluster: Witnessing the Visible Sign
rEd,رعد,2,1,raEod (رَعْد) x2,N: 100%,203,,2,0.0,Alh (اله) x2; SEq (صعق) x2; Swb (صوب) x2,False,3,noun-only; rare (2 occ.)
